GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
handistCollections,handist.collections,ParallelExecutionException,64,9,4,0,19,4,8,1,6,1
handistCollections,handist.collections,RangedList,24,617,4,46,5,140,5,57,2,35
handistCollections,handist.collections,FutureN.OnlyWait,14,0,0,0,6,0,3,0,3,0
handistCollections,handist.collections,LazyRangedList.Iter,0,30,0,0,0,7,0,3,0,3
handistCollections,handist.collections,LongRange,0,523,0,70,0,94,0,53,0,18
handistCollections,handist.collections,AbstractSquareRangedList,65,149,8,8,8,33,7,10,1,8
handistCollections,handist.collections,SquareRangedListView,315,32,10,0,56,9,32,4,27,4
handistCollections,handist.collections,Chunk,11,648,3,43,3,109,3,54,0,34
handistCollections,handist.collections,LongRange.It,0,30,0,2,0,5,0,4,0,3
handistCollections,handist.collections,SquareChunk.ColumnView,138,133,2,6,15,26,7,9,6,6
handistCollections,handist.collections,LongRangeSet,193,449,26,62,45,93,35,51,18,24
handistCollections,handist.collections,RangedListProduct,19,9,0,0,4,2,3,2,3,2
handistCollections,handist.collections,SquareChunkIterator,5,210,1,7,1,28,1,7,0,4
handistCollections,handist.collections,ChunkedList,176,2418,23,181,37,548,34,235,14,153
handistCollections,handist.collections,RangedListView,124,337,26,26,14,72,21,31,2,24
handistCollections,handist.collections,ColumnListIterator,254,0,12,0,48,0,19,0,13,0
handistCollections,handist.collections,ChunkIterator,0,85,0,4,0,22,0,7,0,5
handistCollections,handist.collections,ElementOverlapException,0,4,0,0,0,2,0,1,0,1
handistCollections,handist.collections,FutureN.ConsumeResults,65,0,4,0,22,0,6,0,4,0
handistCollections,handist.collections,FutureN,132,38,15,3,33,12,12,3,4,2
handistCollections,handist.collections.glb.util,ProgramStatistics,489,0,33,0,103,0,24,0,5,0
handistCollections,handist.collections.function,LongTBiConsumer,6,0,0,0,1,0,1,0,1,0
handistCollections,handist.collections.function,LongTBiConsumer.new LongTBiConsumer() {...},19,0,0,0,4,0,2,0,2,0
handistCollections,handist.collections.util,StringUtilities,9,6,3,1,2,2,3,1,1,1
handistCollections,handist.collections.util,SavedLog,185,236,21,17,46,50,22,15,7,11
handistCollections,handist.collections.util,SavedLog.Key,50,64,12,6,5,11,10,3,1,3
handistCollections,handist.collections.util,Splitter,0,72,0,0,0,16,0,4,0,4
handistCollections,handist.collections.dist,UpdatableDistribution,0,3,0,0,0,1,0,1,0,1
handistCollections,handist.collections.dist,DistChunkedList.DistributionManager,7,6,0,0,2,2,1,1,1,1
handistCollections,handist.collections.dist,DistCollectionSatellite.Handle,0,29,0,2,0,9,0,3,0,2
handistCollections,handist.collections.dist,ElementLocationManager.ParameterErrorException,7,0,0,0,3,0,1,0,1,0
handistCollections,handist.collections.dist,ElementLocationManager.SystemError,7,0,0,0,3,0,1,0,1,0
handistCollections,handist.collections.dist,CachableArray,147,239,4,12,32,61,26,22,24,16
handistCollections,handist.collections.dist,TeamedPlaceGroup,276,1179,8,42,40,222,16,65,9,47
handistCollections,handist.collections.dist,DistConcurrentMap,10,43,0,0,3,9,2,4,2,4
handistCollections,handist.collections.dist,RangeRelocatable,55,0,6,0,12,0,6,0,3,0
handistCollections,handist.collections.dist,DistBag.DistBagTeam,14,48,0,2,4,15,1,5,1,4
handistCollections,handist.collections.dist,LoadBalancer.MapBalancer,60,0,6,0,15,0,8,0,5,0
handistCollections,handist.collections.dist,DistLog.LogItem,21,41,2,2,3,10,3,5,1,5
handistCollections,handist.collections.dist,TeamedPlaceGroup.new MPILauncher.Plugin() {...},3,12,0,2,1,5,1,4,1,3
handistCollections,handist.collections.dist,DistConcurrentMultiMap,10,53,0,0,3,12,2,6,2,6
handistCollections,handist.collections.dist,CollectiveMoveManager,16,280,0,18,6,61,3,16,3,7
handistCollections,handist.collections.dist,DistIdMap,562,445,42,27,123,114,49,35,24,25
handistCollections,handist.collections.dist,TeamedPlaceGroup.ObjectReference,0,10,0,0,0,4,0,2,0,2
handistCollections,handist.collections.dist,TeamOperations,638,53,48,4,103,15,30,6,6,4
handistCollections,handist.collections.dist,LongDistribution,87,51,4,2,16,13,7,6,5,5
handistCollections,handist.collections.dist,CollectiveRelocator.Bcast,16,157,0,6,6,30,0,6,0,3
handistCollections,handist.collections.dist,CollectiveRelocator.Gather,30,207,0,14,11,43,0,10,0,3
handistCollections,handist.collections.dist,CollectiveRelocator.Allgather,32,181,0,10,13,40,0,8,0,3
handistCollections,handist.collections.dist,LongRangeDistribution,37,164,6,12,7,31,7,12,2,8
handistCollections,handist.collections.dist,DistLog.ListDiff,32,0,0,0,6,0,2,0,2,0
handistCollections,handist.collections.dist,DistSortedMultiMap,75,98,10,4,18,23,11,9,5,8
handistCollections,handist.collections.dist,DistMultiMap,139,218,9,15,39,57,16,21,10,15
handistCollections,handist.collections.dist,DistCollectionSatellite,0,21,0,0,0,7,0,3,0,3
handistCollections,handist.collections.dist,DistLog.LogKey,4,110,4,10,2,17,4,8,0,5
handistCollections,handist.collections.dist,CollectiveRelocator,3,48,0,2,1,8,1,2,1,1
handistCollections,handist.collections.dist,LoadBalancer.ListBalancer,31,0,0,0,9,0,4,0,4,0
handistCollections,handist.collections.dist,PrimitiveStream,53,177,7,5,9,40,8,11,2,11
handistCollections,handist.collections.dist,GeneralDistManager,682,28,52,0,122,9,39,2,13,2
handistCollections,handist.collections.dist,GlobalOperations,77,75,1,1,22,21,10,9,9,9
handistCollections,handist.collections.dist,DistSortedMap,126,177,2,12,26,50,25,17,23,12
handistCollections,handist.collections.dist,DistCol,120,271,8,15,18,72,11,25,5,19
handistCollections,handist.collections.dist,DistLog,203,722,26,70,35,166,27,63,8,34
handistCollections,handist.collections.dist,MultiMapEntryDispatcher,9,118,1,11,3,29,3,9,2,4
handistCollections,handist.collections.dist,DistLog.SetDiff,22,38,10,2,1,7,7,2,1,2
handistCollections,handist.collections.dist,DistChunkedList,370,249,26,14,60,67,23,29,9,23
handistCollections,handist.collections.dist,SinglePlaceGroup,42,10,2,0,14,4,11,3,10,3
handistCollections,handist.collections.dist,DistMap,382,205,33,5,82,54,34,23,17,21
handistCollections,handist.collections.dist,DistributedCollection,12,6,2,0,3,2,2,1,1,1
handistCollections,handist.collections.dist,DistChunkedList.Team,176,46,0,0,22,8,11,4,11,4
handistCollections,handist.collections.dist,LoadBalancer,627,0,56,0,125,0,35,0,7,0
handistCollections,handist.collections.dist,MapEntryDispatcher,37,389,4,28,8,82,5,22,2,9
handistCollections,handist.collections.dist,CachableChunkedList,243,851,20,60,56,202,33,68,17,44
handistCollections,handist.collections.dist,KeyRelocatable,30,0,2,0,8,0,4,0,3,0
handistCollections,handist.collections.dist,DistBag,134,96,8,0,31,27,15,13,11,13
handistCollections,handist.collections.dist,OneSidedMoveManager,2,252,1,9,1,57,1,13,0,9
handistCollections,handist.collections.dist,ElementLocationManager,349,427,44,38,57,95,35,29,4,19
handistCollections,handist.collections.dist,DistRangedMap,122,258,6,11,30,67,20,17,15,13
handistCollections,handist.collections.dist,MapEntryDispatcher.TeamOperations,0,64,0,0,0,13,0,2,0,2
handistCollections,handist.collections.accumulator,Accumulator,0,36,0,2,0,10,0,5,0,4
handistCollections,handist.collections.accumulator,AccumulatorCompleteRange,0,27,0,0,0,7,0,3,0,3
handistCollections,handist.collections.accumulator,AccumulatorCompleteRange.CompleteRangeTLA,0,51,0,2,0,11,0,6,0,5
handistCollections,handist.collections.glb.lifeline,Hypercube,0,42,0,2,0,10,0,4,0,3
handistCollections,handist.collections.glb.lifeline,Lifeline,0,37,0,2,0,8,0,3,0,2
handistCollections,handist.collections.glb.lifeline,Loop,2,103,2,6,0,14,2,5,0,3
handistCollections,handist.collections.glb.lifeline,LifelineFactory,22,27,0,2,3,5,2,3,2,2
handistCollections,handist.collections.glb.lifeline,NoLifeline,5,9,0,0,1,3,1,2,1,2
handistCollections,handist.collections.launcher,Launcher,58,0,6,0,17,0,5,0,2,0
handistCollections,handist.collections.reducer,DoubleReducer,29,87,6,8,7,24,6,12,1,7
handistCollections,handist.collections.reducer,ShortReducer.Op,0,44,0,0,0,2,0,1,0,1
handistCollections,handist.collections.reducer,LongReducer.Op,0,44,0,0,0,2,0,1,0,1
handistCollections,handist.collections.reducer,Reducer,80,99,7,5,18,22,6,6,2,4
handistCollections,handist.collections.reducer,DoubleReducer.Op,0,44,0,0,0,2,0,1,0,1
handistCollections,handist.collections.reducer,LongReducer,22,94,5,9,5,26,5,13,0,8
handistCollections,handist.collections.reducer,IntReducer.Op,0,44,0,0,0,2,0,1,0,1
handistCollections,handist.collections.reducer,FloatReducer,29,87,6,8,7,24,6,12,1,7
handistCollections,handist.collections.reducer,BoolReducer.Op,0,24,0,0,0,2,0,1,0,1
handistCollections,handist.collections.reducer,IntReducer,29,85,6,8,7,24,6,12,1,7
handistCollections,handist.collections.reducer,BoolReducer,13,45,4,10,4,15,4,8,1,3
handistCollections,handist.collections.reducer,ShortReducer,29,87,6,8,7,24,6,12,1,7
handistCollections,handist.collections.reducer,FloatReducer.Op,0,44,0,0,0,2,0,1,0,1
